username,component_id,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,primary_category,top_hashtags,account_type,account_confidence,creator_score,business_score,media_score
projects.__made_easy,1,profile_scrape,scrape_1776868866.json,6,366.0,nano,4.0,0.0,"egitim_kariyer,ev_yasam",egitim_kariyer,"studygram,studentlife,schoolproject,creativelearning,studyinspo,schoolprojects,accountancyproject,commerceprojects,cbseaccountancy,schoolprojectwork",creator,0.77,1.1,0.0,0.0
psc_kerala_321,1,profile_scrape,scrape_1776937431.json,7,1.0,nano,0.71,0.0,"ev_yasam,egitim_kariyer",ev_yasam,"PSCKerala,PSCPreparation,KeralaJobs,StudyGram,psclife",creator,0.93,1.9,0.0,0.0
psk.dan.ozgeergeneciftci,1,profile_scrape,scrape_1776936742.json,4,48.0,nano,12.0,0.0,egitim_kariyer,egitim_kariyer,"sınav,sınavkaygısı,lgshazırlık,pdr,lgs,sınavahazırlık,bireyseldanışma",creator,0.83,1.4,0.0,0.0
quietpower_channel,1,profile_scrape,scrape_1776937431.json,8,19.0,nano,0.88,0.12,"finans_is,teknoloji",finans_is,"finance,business,news,invest,tech,tesla,apple,buisness,google,i̇ran",creator,0.75,1.0,0.0,0.4
raj_gholap_26,1,profile_scrape,scrape_1776937431.json,12,734.0,nano,119.75,20.17,"otomotiv,moda_yasam,evcil_hayvan",otomotiv,"instagram,instagood,photography,instadaily,attitude,trending,viral,royal,smile,insta",creator,0.83,1.4,0.0,0.0
redgoldensans_,1,profile_scrape,scrape_1776869679.json,11,5195.0,nano,284.0,65.45,evcil_hayvan,evcil_hayvan,"goldenretriever,köpek,keşfet,dog,dogsofinstagram,hayvansevgisi,fyp,puppy,dogs,goldenretrieversofinstagram",creator,0.85,1.5,0.0,0.0
reefunitynetwork,1,profile_scrape,scrape_1776937104.json,12,162.0,nano,11.25,4.25,finans_is,finans_is,"reefunitynetwork,coral,coralrestoration,coralreef,coralreefs,reef,reefs,conservation,saveourreefs,protectourreefs",creator,0.75,1.0,0.0,0.0
repensigroup,1,profile_scrape,scrape_1776937691.json,12,41.0,nano,4.08,1.0,"guzellik_kozmetik,moda_yasam,anne_bebek",guzellik_kozmetik,"inovacaodigital,negociosdigitais,crescimentoempresarial,performancedigital,webstrategist,webperformance,empreendedorismodigital,TI,tech,webdevelopment",creator,0.83,1.4,0.0,0.0
rifki.thesittingcat,1,profile_scrape,scrape_1776869436.json,6,6772.0,nano,353.0,32.17,"evcil_hayvan,egitim_kariyer",evcil_hayvan,"kedi,cat,cats_of_instagram,cats,instagram,instacat,tuxedocatsofinstagram,catsofinsta,tuxedocat,tuxedofeatures",creator,0.83,1.4,0.0,0.0
rocdz_,1,profile_scrape,scrape_1776936742.json,12,1202756.0,mega,47570.0,23469.75,"oyun_espor,teknoloji",oyun_espor,"republic_of_computer,gaming,graphic_design,laptops,games,alger,hp,lenovo,dell,asus",creator,0.71,0.8,0.0,0.0
roksanakarasiewicz,1,profile_scrape,scrape_1776937266.json,5,2725.0,nano,92.0,9.4,"otomotiv,guzellik_kozmetik,anne_bebek",otomotiv,"girl,me,lovemylife,photo,momlife,family,pregnant,photooftheday,happy,summer",creator,0.83,1.4,0.0,0.0
rosa_beauty___1,1,profile_scrape,scrape_1776868866.json,6,152.0,nano,1.17,0.0,"guzellik_kozmetik,otomotiv",guzellik_kozmetik,"explore,skincare,skincareproducts,girls,fyp,larocheposay,sunscreen,sunscream,sunscreeneveryday,ugc",creator,0.87,1.6,0.0,0.0
rotasizhayatlr,1,profile_scrape,scrape_1776872304.json,12,5750.0,nano,556.0,26.5,"yemek_mutfak,seyahat_gezi,oyuncak_hobi",yemek_mutfak,"diyarbakır,seyahat,rota,gezi,mardin,yemek,gezgin,midyat,harita,daraantikkenti",creator,0.83,1.4,0.0,0.0
russian_cream78,1,profile_scrape,scrape_1776937431.json,12,54.0,nano,8.33,0.5,"evcil_hayvan,egitim_kariyer",evcil_hayvan,"cat,explore,pet",creator,0.83,1.4,0.0,0.0
sabine.xoxo_,1,profile_scrape,scrape_1776937104.json,12,3251.0,nano,37.0,8.42,"evcil_hayvan,fitness_saglik,yemek_mutfak",evcil_hayvan,"catmom,catlover,bkh,purrfectcafé,coffeedate,foodinspirations,catlove,brownieballs,highprotein,proteinballs",creator,0.77,1.1,0.0,0.0
saglikci_sayfasi,1,profile_scrape,scrape_1776937104.json,12,35476.0,micro,21429.67,32.08,"anne_bebek,oyuncak_hobi",anne_bebek,"doktor,hemşire,ebe,paramedik,att,anestezi,laborant,radyoloji,nurse,doctor",creator,0.75,1.0,0.0,0.0
sal.paws,1,profile_scrape,scrape_1776869679.json,11,57.0,nano,5.45,0.18,"evcil_hayvan,otomotiv,finans_is",evcil_hayvan,"petservices,petcare,dog,doggrooming,dogservice,collie,akita,lovedoggrooming,DogGroomer,business",creator,0.85,1.5,0.0,0.0
