username,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,primary_category,categories,follower_segment,followers,avg_likes,avg_comments
woofiesrestonherndon,40,17.8882,0.118694,0.002065,0.166511,0.043957,0.003132,evcil_hayvan,"evcil_hayvan,otomotiv",nano,945.0,15.58,1.58
wymondhamcollege,50,25.125,0.148368,9.7e-05,0.160325,0.099563,0.00367,evcil_hayvan,evcil_hayvan,nano,3195.0,130.25,0.25
yaprakdoener.remscheid,17,7.5132,0.050445,0.005843,0.13776,0.004273,0.002358,oyuncak_hobi,oyuncak_hobi,nano,109.0,31.42,0.67
yazilimdaily,29,15.3174,0.086053,0.009537,0.139967,0.003296,0.00348,guzellik_kozmetik,"guzellik_kozmetik,otomotiv",nano,38.0,44.0,3.6
yelken.akademi,51,23.1152,0.151335,0.00031,0.155263,0.058611,0.00353,egitim_kariyer,egitim_kariyer,nano,329.0,12.5,0.0
yet.akademi,51,23.2211,0.151335,0.00625,0.156428,0.058811,0.003544,egitim_kariyer,egitim_kariyer,nano,1654.0,331.5,8.17
yhcosmetologa,29,15.25,0.086053,0.000401,0.139736,0.003292,0.003464,otomotiv,"otomotiv,guzellik_kozmetik",nano,206.0,8.5,0.0
yildizlarkulup,32,12.9489,0.094955,0.01805,0.155286,0.030493,0.002197,anne_bebek,"anne_bebek,egitim_kariyer",nano,2194.0,620.0,1.83
zeyyucarr,28,11.9744,0.083086,0.020096,0.158964,0.029961,0.002225,anne_bebek,"anne_bebek,ev_yasam,evcil_hayvan",nano,428.0,22.33,9.83
zonadedrs_,36,15.7926,0.106825,0.017455,0.158031,0.007392,0.003736,otomotiv,otomotiv,micro,19006.0,597.5,10.0
